[2024-01-24 22:32:26,215 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:32:26,216 INFO safe.railway.user.User_01_Login_Logout] - TC09 - Step 07: Open guerrilla mail Page
[2024-01-24 22:32:26,216 INFO safe.railway.user.User_01_Login_Logout] - TC09 - Step 08: Get guerrilla link
[2024-01-24 22:32:27,754 INFO safe.railway.user.User_01_Login_Logout] - TC09 - Step 09: Open detail email
[2024-01-24 22:32:38,399 INFO safe.railway.user.User_01_Login_Logout] - TC09 - Step 10: Active account
[2024-01-24 22:32:38,651 INFO safe.railway.user.User_01_Login_Logout] - TC09 - Step 11: Switch to confirm page
[2024-01-24 22:32:41,689 INFO safe.railway.user.User_01_Login_Logout] - TC09 - Step 12: Verify message: Registration Confirmed! You can now log in to the site.
[2024-01-24 22:32:41,795 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:32:41,808 INFO safe.railway.user.User_01_Login_Logout] - TC10 - Step 01: Login page
[2024-01-24 22:32:42,589 INFO safe.railway.user.User_01_Login_Logout] - TC10 - Step 02: Open forgot password link
[2024-01-24 22:32:43,309 INFO safe.railway.user.User_01_Login_Logout] - TC10 - Step 03: Enter email to password reset form
[2024-01-24 22:32:45,373 INFO safe.railway.user.User_01_Login_Logout] - TC10 - Step 04: Open guerrilla mail page
[2024-01-24 22:32:45,373 INFO safe.railway.user.User_01_Login_Logout] - TC10 - Step 05: Login page
[2024-01-24 22:32:50,061 INFO safe.railway.user.User_01_Login_Logout] - TC10 - Step 06: open Reset Password Mail
[2024-01-24 22:32:57,663 INFO safe.railway.user.User_01_Login_Logout] - TC10 - Step 07: open Reset Link
[2024-01-24 22:32:57,873 INFO safe.railway.user.User_01_Login_Logout] - TC10 - Step 08: Switch to confirm page
[2024-01-24 22:33:01,243 INFO safe.railway.user.User_01_Login_Logout] - TC10 - Step 09: Fill in password change form
[2024-01-24 22:33:02,552 INFO safe.railway.user.User_01_Login_Logout] - TC10 - Step 10: Verify error message
[2024-01-24 22:33:02,640 ERROR safe.railway.user.User_01_Login_Logout] - -------------------FAILED-------------------
[2024-01-24 22:33:02,646 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 01: Login page
[2024-01-24 22:33:03,697 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 02: Open register page
[2024-01-24 22:33:04,825 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 03: Create new account
[2024-01-24 22:33:07,773 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 04: oOpen guerrilla mail page
[2024-01-24 22:33:07,773 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 05: get guerrillamail link 
[2024-01-24 22:33:09,848 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 06: open detail mail
[2024-01-24 22:33:20,118 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 07: Active account
[2024-01-24 22:33:20,327 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 08: Switch to confirm page
[2024-01-24 22:33:23,362 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 01: Login page
[2024-01-24 22:33:24,045 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 02: Open forgot password link
[2024-01-24 22:33:24,714 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 03: Enter email to password reset form
[2024-01-24 22:33:26,526 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 04: Open guerrilla mail page
[2024-01-24 22:33:26,526 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 05: Login page
[2024-01-24 22:33:30,568 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 06: open Reset Password Mail
[2024-01-24 22:33:38,511 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 07: open Reset Link
[2024-01-24 22:33:38,678 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 08: Switch to confirm page
[2024-01-24 22:33:41,910 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 11: Fill in password change form
[2024-01-24 22:33:43,080 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 12: Verify error message
[2024-01-24 22:33:43,144 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:33:43,144 INFO safe.railway.user.User_01_Login_Logout] - TC11 - Step 13: Verify error message
[2024-01-24 22:33:43,226 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:33:43,232 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 01: Open home page
[2024-01-24 22:33:44,133 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 01: Open login page
[2024-01-24 22:33:44,944 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 02: Login page
[2024-01-24 22:33:46,903 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 03: Open book ticket tab
[2024-01-24 22:33:47,730 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 04: Select depart date
[2024-01-24 22:33:48,150 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 05: Select departure
[2024-01-24 22:33:50,526 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 06: Select arrival
[2024-01-24 22:33:50,874 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 07: Select seat type
[2024-01-24 22:33:51,265 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 08: Select ticket amount
[2024-01-24 22:33:51,400 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 09: Click book button
[2024-01-24 22:33:52,453 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 10: Verify book success MSG
[2024-01-24 22:33:52,518 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:33:52,518 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 11: Verify depart station infor
[2024-01-24 22:33:52,586 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:33:52,586 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 12: Verify arrive station infor
[2024-01-24 22:33:52,668 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:33:52,668 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 13: Login page
[2024-01-24 22:33:52,734 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:33:52,734 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 14: Verify depart date infor
[2024-01-24 22:33:52,800 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:33:52,800 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 15: Verify amount infor
[2024-01-24 22:33:52,877 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:33:52,877 INFO safe.railway.user.User_01_Login_Logout] - TC12 - Step 16: Click to logout button
[2024-01-24 22:33:54,033 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 00: Open home page
[2024-01-24 22:33:54,983 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 01: Open login page
[2024-01-24 22:33:55,796 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 02: Login page
[2024-01-24 22:33:57,439 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 03: Open book ticket tab
[2024-01-24 22:33:58,155 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 04: Verify depart date
[2024-01-24 22:33:58,551 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 05: Verify departure
[2024-01-24 22:34:00,961 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 06: Verify arrival
[2024-01-24 22:34:01,062 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 07: Select seat type
[2024-01-24 22:34:01,430 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 08: Select ticket amount
[2024-01-24 22:34:01,806 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 09: Click book button
[2024-01-24 22:34:02,762 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 10: Verify book success MSG
[2024-01-24 22:34:02,821 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:02,821 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 11: Verify depart station infor
[2024-01-24 22:34:02,893 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
