[2024-01-22 22:31:06,188 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 05: Verify error
[2024-01-22 22:31:06,267 INFO safe.railway.user.User_01_Login_Logout] - -------------------FAILED-------------------
[2024-01-22 22:42:19,827 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 01: Open login page
[2024-01-22 22:42:20,457 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 02: Login page
[2024-01-22 22:42:21,773 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 03: Verify register success
[2024-01-22 22:42:21,953 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 01: Open login page
[2024-01-22 22:43:02,538 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 01: Login page
[2024-01-22 22:43:43,102 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 01: Login page
[2024-01-22 22:46:30,500 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 01: Open login page
[2024-01-22 22:46:31,129 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 02: Login page
[2024-01-22 22:46:32,444 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 03: Verify register success
[2024-01-22 22:46:32,491 ERROR safe.railway.user.User_01_Login_Logout] - -------------------FAILED-------------------
[2024-01-22 22:46:32,491 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 04: Logout
[2024-01-22 22:46:33,602 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 01: Open login page
[2024-01-22 22:46:34,169 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 02: Enter password
[2024-01-22 22:46:34,251 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 03: Click login button
[2024-01-22 22:46:34,877 INFO safe.railway.user.User_01_Login_Logout] - Login Blank- Step 04: Verify error message displays
[2024-01-22 22:46:34,950 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-22 22:46:34,954 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 01: Login page
[2024-01-22 22:46:35,546 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 02: enter emailaddress
[2024-01-22 22:46:35,627 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 03: Enter password
[2024-01-22 22:46:35,709 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 04: Click login button
[2024-01-22 22:46:36,334 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 05: Verify error message
[2024-01-22 22:46:36,383 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-22 22:46:36,388 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 01: Login page
[2024-01-22 22:46:36,956 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 02: Enter valid infor 1 time
[2024-01-22 22:46:37,745 INFO safe.railway.user.User_01_Login_Logout] - TC04- Step 03: Verify error
[2024-01-22 22:46:37,793 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-22 22:46:37,793 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 04: Enter valid infor many times
[2024-01-22 22:46:40,302 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 05: Verify error
[2024-01-22 22:46:40,343 ERROR safe.railway.user.User_01_Login_Logout] - -------------------FAILED-------------------
[2024-01-22 22:49:04,818 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 01: Open login page
[2024-01-22 22:49:05,467 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 02: Login page
[2024-01-22 22:49:06,731 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 03: Verify register success
[2024-01-22 22:49:06,905 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 01: Open login page
[2024-01-22 22:49:47,488 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 01: Login page
[2024-01-22 22:50:28,042 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 01: Login page
[2024-01-22 22:50:49,750 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 01: Open login page
[2024-01-22 22:50:50,343 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 02: Login page
[2024-01-22 22:50:51,610 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 03: Verify register success
[2024-01-22 22:50:51,666 ERROR safe.railway.user.User_01_Login_Logout] - -------------------FAILED-------------------
[2024-01-22 22:50:51,668 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 04: Logout
[2024-01-22 22:50:52,818 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 01: Open login page
